year,min illiq,mean illiq,q1 0.25,median,q3 0.75,max illiq,std illiq,mean t stat
2003,-129.00952720200485,1.013071197991153,0.030904667738380572,0.11760671022856689,0.40714791185500954,1127.4808538853617,16.139634464865473,2.9295924751580134
2004,-6.984260801723869,1.0707525434152982,0.014036775832696408,0.060145124627728294,0.24124783380721687,718.6895768344,17.76729877125315,3.051167573939578
2005,-12.64561178183539,0.84362444350626,0.009305260253676617,0.03945301722643495,0.16749684859857858,2116.8091966566176,30.102278005536167,3.1396551967692656
2006,-20.151910860570105,0.4179810022186721,0.007768579470449476,0.034865780809943056,0.15554681249724545,787.2364816260982,9.478433038392655,3.451151588570541
2007,-8.932728713311402,1.1282466648845009,0.014896488169471742,0.06251934475460867,0.2263982007183686,1764.1169600020296,27.06732416485988,3.2647300664458228
2008,-284.12724734981913,10.519393799363161,0.0586118296893288,0.21924938532117583,1.0136766560789754,5836.747235472177,172.6313330351531,2.562620422802183
2009,-162.99346539024458,4.010328331734192,0.04126551462106041,0.1826628203080548,1.1041131082694997,883.5965731051494,23.2899633306896,2.687941055528587
2010,-32.62628089023951,0.4440724798645422,0.015075754367020033,0.05168523715178813,0.24285700581125874,54.345285873930926,2.248481239562194,3.7396148259848663
2011,-2.3939996033065296,0.37970028467443606,0.010355240196189929,0.03684801463851111,0.216858164311374,17.53067798404167,1.2358232902994388,3.3556899300025713
2012,-20.161319644238382,0.26717877131255774,0.00966655574385307,0.04147879712114455,0.21947538808759443,36.981744264927805,1.4741076676329379,3.7839893369647912
2013,-47.87038468770407,1.360981340430719,0.0049757389452424906,0.031010761165415707,0.17162333489245737,1605.8951743184707,41.58278416423541,3.563825734176971
2014,-0.6749580645741525,0.22258860014587245,0.006264937622217785,0.059652830704665843,0.26468967687516054,11.441135155126455,0.5136009753663541,4.014405290275621
2015,-5.3070645025262335,0.40877744814086625,0.04262697863749476,0.1931110952627288,0.5524324866064461,5.349022499839546,0.6640559653220862,4.19387277198592
2016,-0.5926741120392729,0.5588346740484421,0.06549509384886652,0.23142026560788403,0.6820039825377056,9.292445341282736,0.8820312940061975,3.9617209970036025
2017,-52.27691121471056,0.20655221412828026,0.03394200650560737,0.14414907477609817,0.3060172018455013,12.975676789182488,2.3984617637689607,3.883912890607445
2018,-26.54229419626556,2.6831804756051874,0.024994907556572906,0.11572301171641759,0.32466840479568665,813.9594829994323,37.75182271339117,3.5730847098820346
2019,-2.8220755979572845,0.25232511817508296,0.041603892711503644,0.13925858268760413,0.3066414741173047,6.501283067445069,0.5358311209713307,3.401771958903232
2020,-9.728383856664474,1.1915209432175897,0.04796668943290237,0.2314154725449324,0.8400381693575283,67.3578364490682,4.885320661524047,1.3364267898225533
2021,-1.2447494847250067,0.1850680849932193,0.015033335622120357,0.08180895894700152,0.22989737649981595,4.0193453245380075,0.371454174077744,3.1882238161925263
2022,-3.8559118064338165,0.48781254803054636,0.029016129447979044,0.15780839591721593,0.47579563672656555,10.091642702849294,1.163633386871959,2.8678602846647783
