,2003,2004,2005,2006,2007,2008,2009
cusip_count,14176.0,16299.0,16848.0,16691.0,16898.0,16666.0,13974.0
issuance_avg,503.47629759875053,539.1752151157609,578.808925149028,596.4447877683003,632.5278290846821,714.0116253809175,735.8564469758476
issuance_median,299.76,349.4225,399.284,447.0255,496.79,499.025,499.075
issuance_std,549.5080402080225,560.1220797973962,573.6070991358605,573.2678946960469,595.7401863420405,688.3819154609484,743.5627260418972
n_mr_avg,8.482802960222017,8.508066323101053,8.548405925705028,8.659460576810735,8.498668956967476,8.49162376476441,8.81142248725082
n_mr_median,8.0,8.0,8.0,8.0,8.0,8.0,8.0
n_mr_std,4.280684638983594,4.382675034913694,4.390957946783702,4.402948761381595,4.48809213224828,4.4263327855792545,4.227254460791919
tmt_avg,8.363868796361576,8.01346473100013,7.521352806194892,7.507118683500813,7.827748823137375,7.770917095388021,7.794839600474355
tmt_median,5.541666666666667,5.580555555555556,5.447222222222222,5.366666666666666,5.411111111111111,5.113888888888889,4.988888888888889
tmt_std,8.52866996781481,8.165193032060502,7.752665501000926,7.907233113606257,8.242595952793012,8.110468578653759,8.17830269058322
coupon_y_avg,7.015283976930668,6.779408317858874,6.526922386576464,6.417695176654226,6.330465339377162,6.270171929588944,6.213986175332789
coupon_y_median,7.0,6.875,6.625,6.46,6.25,6.15,6.15
coupon_y_std,1.7144814134907507,1.8733796981435247,1.9137196580038862,1.8777035518660568,1.858205605046394,1.797643128975738,1.8803681779941668
age_avg,4.369127460807287,4.3183369786527255,4.423963630405952,4.559068847900456,4.647012746086972,4.6794127495893765,4.624737399408035
age_median,3.767123287671233,3.2383561643835614,3.419178082191781,3.6246575342465754,3.7726027397260276,3.802739726027397,3.6575342465753424
age_std,3.6009282651220196,3.663201235368389,3.6889351922854314,3.790047138369479,3.9647033126861113,4.070661708883449,4.113898535272334
turnover_avg,16.35862102065364,15.169971559375563,12.745079592445151,10.421674758836968,9.614977653782931,114.49624102386483,672.2473017939232
turnover_median,7.128422653287848,6.779699582735209,5.8122172629542685,5.693770307673794,4.878317145629319,4.6900045845924225,6.466033581615103
turnover_std,106.15674029578439,92.73704005800853,41.052385275197565,18.443516090834322,38.881466557874354,4967.857734136351,13561.256238397116
trade_size_avg,310.362862724149,259.4527233745007,237.15221371956105,224.83323802426096,219.50950856822462,147.43342735510427,89.33819609452128
trade_size_median,149.96219812262032,129.83214068635613,94.59451490370866,103.2677907102118,89.91437428300699,64.86235203508771,42.751685479283445
trade_size_std,1050.9372317155826,623.7750026842465,385.8044136520335,283.2420039940547,316.120898066943,247.2571030757253,98.8747866721895
Avg_return_avg,0.2934726607900549,0.04404366183267911,-0.525396969029931,-0.20556675757714882,-0.4335385049295107,-3.0878894633547453,0.5976358030432134
Avg_return_median,-0.06591397321424536,-0.07854979434356853,-0.32774180121749,-0.07881694310556048,-0.11780492576908039,-0.7493269251966657,0.7968685942813233
Avg_return_std,6.47593287408058,6.779102352680318,8.454246537759639,5.883766158364135,6.790233707630893,11.510676373741658,16.17327314051281
volatility_avg,3.630478062508771,3.056172802563663,2.478758330100886,1.9847110396961407,2.277258864839606,8.601599355876798,10.285066574841906
volatility_median,2.373598212600234,1.810274978851164,1.5596576809245117,1.3593094086279836,1.6533265182710846,5.427901657501478,4.763621691359626
volatility_std,11.349288081333672,13.358864815704461,13.865066950167195,3.050501562082073,4.429868754686655,15.855716822130827,29.130013999420214
prclean_avg,105.09221429584795,105.74542649125515,103.86964611388818,100.82608045489827,100.58954851332285,93.28814795423733,88.49536256215235
prclean_median,106.07833859563196,105.57250706418641,103.02214133156818,100.48988748977519,100.2263996779896,98.09100616978397,95.56156840578493
prclean_std,13.919805174633078,25.117530809712278,12.401084988363591,13.680131274459193,9.190947809335825,17.127239191530936,23.622932199003678
